Columns,Layers,Logical,Integer,Double
20,50,0.01,0.04,0.08
20,100,0.02,0.08,0.16
20,300,0.06,0.24,0.48
20,500,0.1,0.4,0.8
20,1000,0.2,0.81,1.62
20,2000,0.41,1.62,3.24
20,4000,0.81,3.24,6.48
50,50,0.05,0.2,0.4
50,100,0.1,0.41,0.81
50,300,0.3,1.22,2.43
50,500,0.51,2.03,4.06
50,1000,1.01,4.06,8.12
50,2000,2.03,8.12,16.24
50,4000,4.06,16.24,32.48
100,50,0.1,0.41,0.81
100,100,0.2,0.81,1.62
100,300,0.61,2.43,4.87
100,500,1.01,4.06,8.12
100,1000,2.03,8.12,16.24
100,2000,4.06,16.24,32.48
100,4000,8.12,32.48,64.96
200,50,0.2,0.81,1.62
200,100,0.41,1.62,3.24
200,300,1.22,4.87,9.74
200,500,2.03,8.12,16.24
200,1000,4.06,16.24,32.48
200,2000,8.12,32.48,64.96
200,4000,16.24,64.96,129.92
300,50,0.3,1.22,2.43
300,100,0.61,2.43,4.87
300,300,1.82,7.3,14.61
300,500,3.04,12.17,24.34
300,1000,6.09,24.34,48.69
300,2000,12.17,48.69,97.38
300,4000,24.34,97.38,194.76
500,50,0.51,2.03,4.06
500,100,1.01,4.06,8.12
500,300,3.04,12.17,24.34
500,500,5.07,20.29,40.59
500,1000,10.15,40.59,81.17
500,2000,20.29,81.17,162.34
500,4000,40.59,162.34,324.68
586,50,0.6,2.36,4.72
586,100,1.18,4.72,9.45
586,300,3.54,14.17,28.34
586,500,5.91,23.62,47.24
586,1000,11.81,47.24,94.48
586,2000,23.62,94.48,188.96
586,4000,47.24,188.96,377.92
