run_id;model_id;date_run;samples;thin;transient;chains;machine;script_version;run_time(h);max_mem_perGPU;output_path;notes
fbs_M001_thin_100_samples_1000_chains_4;fbs_M001;20250919;1000;100;50000;4;kingma;0d72e5f;7,125;10;C:\Users\Carlos Munoz\Documents\Ph.D\6_courses\2025_I_comparative_metrics\models;
fbs_M001_thin_1000_samples_1000_chains_4;fbs_M001;20250920;1000;1000;500000;4;kingma;0d72e5f;69,41;10;C:\Users\Carlos Munoz\Documents\Ph.D\6_courses\2025_I_comparative_metrics\models;
fbs_M002_thin_100_samples_1000_chains_4;fbs_M002;20250924;1000;100;50000;4;Asimov;0d72e5f;6,71;23;C:\Users\Carlos Munoz\Documents\Ph.D\6_courses\2025_I_comparative_metrics\models;
fbs_M002_thin_1000_samples_1000_chains_4;fbs_M002;20250924;1000;1000;500000;4;Asimov;0d72e5f;76,16;23;C:\Users\Carlos Munoz\Documents\Ph.D\6_courses\2025_I_comparative_metrics\models;
fbs_M003_thin_1000_samples_1000_chains_4;fbs_M003;20250930;1000;1000;500000;4;kingma;f543534;68,86;10;C:\Users\Carlos Munoz\Documents\Ph.D\6_courses\2025_I_comparative_metrics\models;
fbs_M004_thin_1000_samples_1000_chains_4;fbs_M004;20251002;1000;1000;500000;4;Asimov;ec10080;66,8;23;C:\Users\Carlos Munoz\Documents\Ph.D\6_courses\2025_I_comparative_metrics\models;
fbs_M003_thin_1000_samples_2000_chains_4;fbs_M003;20251010;2000;1000;500000;4;Asimov;e302951;131;23;C:\Users\Carlos Munoz\Documents\Ph.D\6_courses\2025_I_comparative_metrics\models;
fbs_M002.1_thin_1000_samples_1000_chains_4;fbs_M002;20251016;1000;1000;500000;4;kingma;fe48f56;67;10;C:\Users\Carlos Munoz\Documents\Ph.D\6_courses\2025_I_comparative_metrics\models;
fbs_M005_thin_1000_samples_1000_chains_4;fbs_M005;20251017;1000;1000;500000;4;Asimov;0a8a616;73,1;23;C:\Users\Carlos Munoz\Documents\Ph.D\6_courses\2025_I_comparative_metrics\models;
fbs_M006_thin_1000_samples_1000_chains_4;fbs_M006;20251027;1000;1000;500000;4;Asimov;704637f;77,6;23;C:\Users\Carlos Munoz\Documents\Ph.D\6_courses\2025_I_comparative_metrics\models;
fbs_M007_thin_1000_samples_1000_chains_4;fbs_M007;20251028;1000;1000;500000;4;kingma;3de059c;75,7;10;C:\Users\Carlos Munoz\Documents\Ph.D\6_courses\2025_I_comparative_metrics\models;
fbs_M008_thin_1000_samples_1000_chains_4;fbs_M008;20251031;1000;1000;500000;4;Asimov;dcad272;72,3;23;C:\Users\Carlos Munoz\Documents\Ph.D\6_courses\2025_I_comparative_metrics\models;
fbs_M009_thin_1000_samples_1000_chains_4;fbs_M009;20251101;1000;1000;500000;4;kingma;dcad272;75,6;10;C:\Users\Carlos Munoz\Documents\Ph.D\6_courses\2025_I_comparative_metrics\models;
fbs_M010_thin_1000_samples_1000_chains_4;fbs_M010;20251104;1000;1000;500000;4;Asimov;5c9b175;83,3;23;C:\Users\Carlos Munoz\Documents\Ph.D\6_courses\2025_I_comparative_metrics\models;
fbs_M011_thin_1000_samples_1000_chains_4;fbs_M011;20251104;1000;1000;500000;4;kingma;5c9b175;72,7;10;C:\Users\Carlos Munoz\Documents\Ph.D\6_courses\2025_I_comparative_metrics\models;
