"","average_stand_diameter","average_stand_diameter_gt15_mean","average_stand_diameter_gt20_mean","average_stand_length","average_stand_length_gt200_mean","average_stand_length_gt250_mean","stand_age","old_grow_indicator","old_grow_indicator_ratio","old_grow_indicator_agesum","stand_basal_area","canopy_cover_whole_stand","canopy_cover_whole_stand_gt60_mean","canopy_cover_broadleaves","volume_total_wood","volume_spruce_gt150","tree_extent","tree_height_mean","tree_height_max","tree_height_stdev","tree_remove"
"average_stand_diameter",1,0.764790552158187,0.327666817027127,0.934266261651303,0.301336702840801,0.356732444767108,0.188097373761526,-0.118929732565692,-0.0228576855930984,-0.0108190914044074,0.854269987915352,0.719422208974538,0.423403266316375,0.214600780221102,0.840222838055277,0.475062342268195,0.119603097186785,0.759042643189684,0.633213171640705,0.394542384912859,0.0661461761521081
"average_stand_diameter_gt15_mean",0.764790552158187,1,0.189939564630218,0.741188825433003,0.0752407509622731,0.0923007088620632,0.0740184609254115,-0.121234934195754,-0.040745923938391,-0.00165185071929469,0.665451999603961,0.531763630194815,0.390486999081215,0.153872914917841,0.698847952689093,0.395571786793849,0.0782185680982272,0.605211148576399,0.526246750816679,0.317110578768439,0.052210781752061
"average_stand_diameter_gt20_mean",0.327666817027127,0.189939564630218,1,0.274449890587354,0.0142911954802248,0.0175315564563208,0.121562521822895,-0.0208623786670256,0.0378348253650884,0.0180520316297793,0.233193398449472,0.14762779075575,0.181602286162838,-0.0122740203139202,0.272154769292923,0.0812683445988147,0.00236217237358372,0.220639729444991,0.125554022822773,0.0106400706567227,-0.0161382499071674
"average_stand_length",0.934266261651303,0.741188825433003,0.274449890587354,1,0.266433644584629,0.31456003229903,-0.118338007242843,-0.202061378566442,-0.202750525242168,-0.187335838385524,0.948877119258624,0.869983868869316,0.526442146894694,0.40850535776541,0.955820398911639,0.611762555842081,0.0930616889934159,0.846402814973314,0.811996819588095,0.537183283427257,0.0956966332621057
"average_stand_length_gt200_mean",0.301336702840801,0.0752407509622731,0.0142911954802248,0.266433644584629,1,0.815169806276515,0.180563014456456,0.00714218775235968,0.0166869045780147,-0.00870851584692037,0.239920938473212,0.223628798249375,0.0460926456914947,0.0635578970147002,0.181228641054168,0.108118558852738,0.0503324737161283,0.192156622134018,0.195160501155531,0.191321481466289,0.0296138734991836
"average_stand_length_gt250_mean",0.356732444767108,0.0923007088620632,0.0175315564563208,0.31456003229903,0.815169806276515,1,0.185558596359534,-0.00297467871714179,0.00167597758501413,-0.0301977967837553,0.286934507956308,0.262141211039369,0.0565436125536028,0.0502483531771838,0.218863512336764,0.129194474636466,0.0606743810112483,0.223773587559085,0.225393342428556,0.221469180392314,0.0362837456898394
"stand_age",0.188097373761526,0.0740184609254115,0.121562521822895,-0.118338007242843,0.180563014456456,0.185558596359534,1,0.2158910674205,0.578657518253546,0.566466944061331,-0.234616318670017,-0.399916005518091,-0.235412226723242,-0.536148638154981,-0.301963613598341,-0.400547872156117,0.103357268360547,-0.170616381934545,-0.486449558609512,-0.438337064771945,-0.0895769558677657
"old_grow_indicator",-0.118929732565692,-0.121234934195754,-0.0208623786670256,-0.202061378566442,0.00714218775235968,-0.00297467871714179,0.2158910674205,1,0.22983432460151,0.1254518598182,-0.199175175658728,-0.216677543019057,-0.123848671538174,-0.212625116230282,-0.220506975044124,-0.144438812568733,0.0664171946516686,-0.196809540458847,-0.227275156716756,-0.166176242941003,0.0038687519435823
"old_grow_indicator_ratio",-0.0228576855930984,-0.040745923938391,0.0378348253650884,-0.202750525242168,0.0166869045780147,0.00167597758501413,0.578657518253546,0.22983432460151,1,0.528975684338202,-0.278668879609046,-0.331745823447923,-0.144323246795758,-0.142558350560406,-0.276651164365584,-0.321407493351135,-0.117617285228745,-0.248321624579419,-0.388491595064837,-0.30249522685502,-0.11615814469902
"old_grow_indicator_agesum",-0.0108190914044074,-0.00165185071929469,0.0180520316297793,-0.187335838385524,-0.00870851584692037,-0.0301977967837553,0.566466944061331,0.1254518598182,0.528975684338202,1,-0.270990141134655,-0.335840433929164,-0.126755501281382,-0.213156188618386,-0.26183617278063,-0.26034220155942,0.253247041948746,-0.216907787164711,-0.323517302793385,-0.236193434148927,-0.0195855349754573
